iter	Passed	Remaining
0	88	884665
1	110	550784
2	132	440830
3	152	380729
4	171	343268
5	193	323071
6	214	305681
7	236	295874
8	259	288099
9	281	281132
10	304	276510
11	327	272867
12	350	269144
13	374	267217
14	396	263941
15	419	261750
16	442	259931
17	465	258000
18	487	255858
19	510	254976
20	533	253526
21	556	252448
22	582	252517
23	603	250910
24	626	250160
25	650	249448
26	676	249764
27	699	249082
28	721	248193
29	747	248333
30	769	247575
31	791	246639
32	815	246285
33	839	246199
34	862	245629
35	885	245146
36	913	245960
37	940	246460
38	965	246639
39	993	247414
40	1020	247914
41	1047	248241
42	1070	247897
43	1093	247391
44	1117	247236
45	1141	247082
46	1165	246903
47	1188	246366
48	1211	246085
49	1235	245894
50	1258	245462
51	1280	245033
52	1302	244422
53	1324	243880
54	1346	243452
55	1365	242539
56	1387	242095
57	1413	242278
58	1436	241972
59	1459	241724
60	1482	241486
61	1502	240800
62	1525	240684
63	1544	239784
64	1567	239638
65	1590	239379
66	1614	239326
67	1637	239175
68	1661	239125
69	1684	238976
70	1707	238817
71	1731	238783
72	1756	238903
73	1781	238898
74	1804	238788
75	1830	238974
76	1855	239144
77	1878	238997
78	1902	238960
79	1926	238924
80	1950	238827
81	1974	238860
82	1998	238754
83	2021	238648
84	2045	238622
85	2068	238453
86	2092	238402
87	2117	238476
88	2139	238239
89	2162	238143
90	2185	238021
91	2208	237844
92	2231	237686
93	2251	237225
94	2273	237023
95	2297	236997
96	2320	236937
97	2346	237101
98	2369	236938
99	2393	236909
100	2415	236723
101	2438	236677
102	2462	236608
103	2486	236601
104	2511	236636
105	2535	236637
106	2559	236633
107	2582	236550
108	2605	236439
109	2627	236219
110	2649	236009
111	2673	235998
112	2696	235936
113	2720	235892
114	2743	235837
115	2766	235683
116	2788	235568
117	2810	235359
118	2832	235172
119	2855	235067
120	2878	234988
121	2902	235042
122	2928	235166
123	2951	235111
124	2974	234953
125	2999	235039
126	3022	234994
127	3046	234998
128	3069	234892
129	3095	235031
130	3117	234867
131	3139	234712
132	3162	234604
133	3185	234505
134	3207	234394
135	3228	234155
136	3250	233996
137	3273	233930
138	3295	233818
139	3319	233799
140	3344	233883
141	3368	233832
142	3391	233746
143	3415	233768
144	3439	233734
145	3462	233676
146	3487	233765
147	3511	233744
148	3534	233695
149	3559	233755
150	3583	233753
151	3607	233722
152	3630	233648
153	3653	233565
154	3678	233613
155	3701	233574
156	3725	233545
157	3747	233414
158	3769	233332
159	3791	233183
160	3814	233086
161	3837	233026
162	3860	232993
163	3884	232974
164	3908	232985
165	3934	233086
166	3957	233041
167	3981	233029
168	4004	232955
169	4028	232947
170	4053	232993
171	4074	232833
172	4101	232954
173	4123	232886
174	4146	232779
175	4168	232699
176	4192	232692
177	4215	232585
178	4238	232553
179	4261	232498
180	4284	232449
181	4307	232361
182	4329	232270
183	4352	232176
184	4372	231986
185	4394	231883
186	4416	231756
187	4440	231782
188	4463	231726
189	4488	231726
190	4510	231661
191	4533	231602
192	4557	231600
193	4580	231540
194	4604	231532
195	4628	231526
196	4649	231372
197	4672	231291
198	4694	231189
199	4717	231167
200	4741	231170
201	4765	231147
202	4789	231132
203	4812	231104
204	4835	231026
205	4857	230938
206	4880	230882
207	4903	230821
208	4926	230767
209	4949	230737
210	4970	230602
211	4993	230537
212	5016	230499
213	5038	230420
214	5062	230388
215	5086	230419
216	5110	230414
217	5133	230353
218	5161	230502
219	5183	230419
220	5205	230323
221	5226	230210
222	5250	230186
223	5273	230131
224	5296	230095
225	5320	230086
226	5344	230087
227	5366	230015
228	5389	229961
229	5411	229885
230	5433	229773
231	5456	229728
232	5478	229668
233	5501	229617
234	5524	229580
235	5548	229555
236	5571	229499
237	5593	229408
238	5615	229352
239	5638	229318
240	5661	229250
241	5685	229240
242	5711	229324
243	5734	229287
244	5757	229234
245	5779	229164
246	5802	229105
247	5825	229078
248	5848	229043
249	5871	228985
250	5897	229055
251	5919	228982
252	5941	228904
253	5964	228855
254	5987	228828
255	6013	228887
256	6036	228851
257	6058	228777
258	6082	228752
259	6104	228694
260	6127	228656
261	6150	228590
262	6172	228531
263	6195	228471
264	6217	228408
265	6239	228337
266	6263	228315
267	6286	228288
268	6310	228289
269	6334	228261
270	6356	228195
271	6379	228156
272	6401	228098
273	6424	228047
274	6448	228056
275	6472	228047
276	6495	228013
277	6518	227965
278	6540	227901
279	6563	227856
280	6585	227788
281	6608	227737
282	6634	227785
283	6656	227740
284	6681	227746
285	6704	227727
286	6727	227685
287	6750	227630
288	6771	227548
289	6794	227499
290	6818	227478
291	6838	227367
292	6861	227324
293	6883	227265
294	6907	227232
295	6928	227141
296	6951	227109
297	6974	227053
